# {"t_start": 1549867203.317993, "env_id": "graph-search-v0"} 
r,l,t
-2,2,9.038922
-2,2,9.044504
-2,2,9.050144
-2,2,9.056321
-2,2,9.062029
-2,2,9.067931
-2,2,9.074121
-2,2,9.079819
-2,2,9.085387
-2,2,9.093152
-2,2,9.101159
-2,2,9.109496
-2,2,9.116411
-2,2,9.122025
-2,2,9.127659
-2,2,9.133772
-2,2,9.140099
-2,2,9.145823
-2,2,9.151417
-2,2,9.157214
-2,2,9.163515
-2,2,9.169695
-2,2,9.175287
-2,2,9.181074
-2,2,9.186668
-2,2,9.192541
-2,2,9.198335
-2,2,9.203943
-2,2,9.210608
-2,2,9.216219
-2,2,9.221907
-2,2,9.228128
-2,2,9.233735
-2,2,9.239902
-2,2,9.245801
-2,2,9.251379
-2,2,9.258235
-2,2,9.264009
-4,3,9.272743
-2,2,9.27832
-2,2,9.283865
-2,2,9.293637
-2,2,9.300248
-2,2,9.306087
-2,2,9.311811
-2,2,9.318007
-2,2,9.324133
-2,2,9.329989
-2,2,9.335708
-2,2,9.341576
-2,2,9.347303
-2,2,9.353131
-2,2,9.359312
-2,2,9.36502
-2,2,9.370708
-2,2,9.376787
-2,2,9.382761
-2,2,9.388933
-2,2,9.394764
-2,2,9.400361
-2,2,9.405996
-2,2,9.414293
-2,2,9.422151
-2,2,9.428394
-2,2,9.434152
-2,2,9.439717
-2,2,9.445787
-2,2,9.451366
-2,2,9.457664
-2,2,9.463477
-2,2,9.469216
-4,3,9.478211
-2,2,9.483801
-2,2,9.49022
-2,2,9.495898
-2,2,9.501478
-2,2,9.507882
-2,2,9.51401
-2,2,9.519668
-2,2,9.525448
-2,2,9.531072
-2,2,9.537309
-2,2,9.542889
-2,2,9.548617
-2,2,9.554538
-2,2,9.560234
-2,2,9.56612
-2,2,9.572002
-2,2,9.577984
-2,2,9.583938
-2,2,9.589517
-2,2,9.595522
-2,2,9.601199
-2,2,9.607467
-2,2,9.613226
-2,2,9.620137
-2,2,9.626407
-2,2,9.632326
-2,2,9.638061
-2,2,9.644933
-2,2,9.65055
-2,2,9.656281
-2,2,9.666266
-2,2,9.673304
-2,2,9.679352
-2,2,9.686204
-2,2,9.693943
-2,2,9.702116
-66,35,9.809068
-2,2,9.815167
-2,2,9.820758
-2,2,9.827325
-2,2,9.832933
-2,2,9.838535
-2,2,9.844598
-2,2,9.850264
-2,2,9.856535
-4,3,9.865832
-2,2,9.87235
-2,2,9.878368
-2,2,9.883974
-2,2,9.890021
-2,2,9.896475
-2,2,9.902595
-2,2,9.908388
-2,2,9.914019
-2,2,9.919743
-2,2,9.92543
-2,2,9.931238
-2,2,9.937143
-2,2,9.943547
-2,2,9.949155
-2,2,9.95476
-2,2,9.960533
-2,2,9.96612
-2,2,9.972773
-2,2,9.978959
-4,3,9.987454
-2,2,9.993124
-2,2,9.998878
-2,2,10.00492
-2,2,10.011808
-2,2,10.017931
-2,2,10.023679
-2,2,10.029263
-2,2,10.03496
-2,2,10.044441
-2,2,10.051262
-2,2,10.057388
-2,2,10.063515
-2,2,10.06923
-2,2,10.075586
-2,2,10.081406
-2,2,10.087279
-2,2,10.093449
-2,2,10.099113
-2,2,10.105361
-2,2,10.111335
-2,2,10.117168
-2,2,10.122896
-2,2,10.12867
-4,3,10.137057
-2,2,10.142815
-2,2,10.148403
-2,2,10.154303
-2,2,10.160141
-2,2,10.1658
-2,2,10.171688
-2,2,10.17797
-29,17,10.22771
-2,2,10.235324
-2,2,10.241504
-2,2,10.248561
-2,2,10.257678
-2,2,10.263923
-2,2,10.269782
-2,2,10.275886
-2,2,10.281952
-2,2,10.287578
-2,2,10.293905
-2,2,10.299758
-2,2,10.305506
-2,2,10.311595
-2,2,10.317268
-2,2,10.323235
-2,2,10.329146
-2,2,10.334778
-2,2,10.340945
-2,2,10.346608
-2,2,10.352176
-2,2,10.358573
-2,2,10.364191
-2,2,10.369808
-2,2,10.375534
-2,2,10.381263
-2,2,10.386929
-2,2,10.392937
-2,2,10.398566
-2,2,10.404863
-2,2,10.411081
